,company_size,joined,location,market,pitch,raised,signal,stage,title,website
82,1-10,2013-01-01 00:00:00,Austin,Lead Generation,"
Demand Generation Done For You
",$10000,3,Seed,Demand Genesis,demandgenesis.com
83,1-10,2013-01-01 00:00:00,Toronto,iPhone,"
App Discovery Based on Personality
",$15000,3,Seed,AppGeek,appgk.com
84,1-10,2013-06-01 00:00:00,Chicago,Small and Medium Businesses,"
Online marketing for smbs. Designs websites, manages AdWords and social media
",$10000,3,Seed,Red Cannonball,redcannonball.com
85,1-10,2013-07-01 00:00:00,Raleigh,Lifestyle,"
Online tools to drive offline mobility and help cities embrace walkability. 
",$11364,3,Seed,Walk [Your City],walkyourcity.org
86,1-10,2014-02-01 00:00:00,Special Capital Region of Jakarta,Mobile Health,"
Your healthcare destination
",$10000,3,Seed,TanyaDok,tanyadok.com
87,1-10,2013-08-01 00:00:00,Los Angeles,Education,"
Helping high school quarterbacks realize their dreams
",$10000,3,Seed,PrepQB,prepQB.com
88,1-10,2013-11-01 00:00:00,Hong Kong,Small and Medium Businesses,"
Making patent lawyers redundant with AI
",$13000,3,Seed,Ipselex,ipselex.com
89,1-10,2014-04-01 00:00:00,London,Technology,"
Lastminute.com for education
",$15000,3,Seed,Coursevine,Coursevine.org
90,1-10,2014-01-01 00:00:00,New York City,Social Search,"
social engine (facebook and google plus)
",$13000,3,Seed,Yssete,yssete.com
91,1-10,2014-01-01 00:00:00,New York City,-,"
The Worlds Virtual Incubator & Crowdfunding Network
",$10000,3,Seed,VICN.Org,realitycrowdtv.com
92,1-10,2014-03-01 00:00:00,London,Advertising,"
Disruptive Advertising platform
",$10000,3,Seed,PickmeUp,pickmeup-ltd.com
93,,2014-07-01 00:00:00,Bethlehem,College Campuses,"
Privacy and Proximity Multimedia Social Network
",$12000,3,Seed,uSnap,uSnap.us
94,1-10,2015-01-01 00:00:00,Minneapolis,University Students,"
Peer-to-Peer Textbook Rentals
",$15000,3,Seed,Borrow'd,borrowd.co
95,,2015-04-01 00:00:00,Freetown,ICT,"
Creativity and Innovative Education
",$10000,3,Seed,B-Gifted,b-gifted.org
96,1-10,2015-05-01 00:00:00,Toronto,Home Owners,"
Broker Platform for Household Waste Management
",$10000,3,Seed,Mr. Bin,mrbinapp.ca
97,1-10,2015-11-01 00:00:00,New York City,Mobile Commerce,"
Hyperlocal market place
",$15000,3,Seed,NowNear,nownear.xyz
98,11-50,2016-02-01 00:00:00,Denver,Recreation,"
Connecting referees and sports leagues
",$10000,3,Seed,iRef,irefnow.com
99,1-10,2016-07-01 00:00:00,Slovenia,Women-Focused,"
Baby Stork is helping couples, who decided to get a baby, to conceive faster.
",$12000,3,,Baby Stork,baby-stork.com
100,-,2012-01-01 00:00:00,-,-,"
",$15000,3,Seed,FaceTags,FaceTa.gs
101,1-10,2013-01-01 00:00:00,Irvine,Photo Sharing,"
Better scrapbooking, pushing pixels not paper.
",$15000,3,Seed,TapnScrap,tapnscrap.com
102,1-10,2012-09-01 00:00:00,Moscow,Events,"
Event travel made easy.
",$10000,3,Seed,Travelatus,travelatus.com
